agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,7,0,1,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,7,0,10,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,100,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,7,0,100,True,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,False,den520d-random-17.scen,20
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,True,den520d-random-17.scen,20
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,21,0,0,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,0,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,23,0,1,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,23,0,1,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,21,0,10,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,10,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,100,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,21,0,100,True,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,23,0,1000,False,den520d-random-17.scen,60
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,25,0,1000,True,den520d-random-17.scen,60
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,40,0,0,False,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,0,True,den520d-random-17.scen,100
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,39,0,1,False,den520d-random-17.scen,100
